rank,method,model_name,layer,iter,token_num
10,FLEX,mixtral-8x7b-e16k4,0,9,73242
10,FLEX,mixtral-8x7b-e16k4,0,10,71036
10,FLEX,mixtral-8x7b-e16k4,0,11,70755
10,FLEX,mixtral-8x7b-e16k4,0,12,70757
10,FLEX,mixtral-8x7b-e16k4,0,13,71288
10,FLEX,mixtral-8x7b-e16k4,0,14,71612
10,FLEX,mixtral-8x7b-e16k4,0,15,72786
10,FLEX,mixtral-8x7b-e16k4,0,16,71102
10,FLEX,mixtral-8x7b-e16k4,0,17,70573
10,FLEX,mixtral-8x7b-e16k4,0,18,56961
10,FLEX,mixtral-8x7b-e16k4,0,19,66633
10,FLEX,mixtral-8x7b-e16k4,0,20,65114
10,FLEX,mixtral-8x7b-e16k4,0,21,64692
10,FLEX,mixtral-8x7b-e16k4,0,22,69404
10,FLEX,mixtral-8x7b-e16k4,0,23,66816
10,FLEX,mixtral-8x7b-e16k4,0,24,68616
10,FLEX,mixtral-8x7b-e16k4,0,25,65267
10,FLEX,mixtral-8x7b-e16k4,0,26,66159
10,FLEX,mixtral-8x7b-e16k4,0,27,66890
10,FLEX,mixtral-8x7b-e16k4,0,28,68793
10,FLEX,mixtral-8x7b-e16k4,0,29,67410
11,FLEX,mixtral-8x7b-e16k4,0,0,45943
11,FLEX,mixtral-8x7b-e16k4,0,1,49431
11,FLEX,mixtral-8x7b-e16k4,0,2,50768
11,FLEX,mixtral-8x7b-e16k4,0,3,49235
11,FLEX,mixtral-8x7b-e16k4,0,4,51637
11,FLEX,mixtral-8x7b-e16k4,0,5,49234
11,FLEX,mixtral-8x7b-e16k4,0,6,49671
11,FLEX,mixtral-8x7b-e16k4,0,7,48331
11,FLEX,mixtral-8x7b-e16k4,0,8,49478
11,FLEX,mixtral-8x7b-e16k4,0,9,48819
11,FLEX,mixtral-8x7b-e16k4,0,10,51585
11,FLEX,mixtral-8x7b-e16k4,0,11,49710
11,FLEX,mixtral-8x7b-e16k4,0,12,50132
11,FLEX,mixtral-8x7b-e16k4,0,13,52219
11,FLEX,mixtral-8x7b-e16k4,0,14,51154
