iter,method,aux_loss,loss,time
645,megatron,0.01,5.269546,12589.3
646,megatron,0.01,5.235909,12170.8
647,megatron,0.01,5.258456,11763.3
648,megatron,0.01,5.252947,12513.3
649,megatron,0.01,5.2452,12351.6
650,megatron,0.01,5.249643,11699.7
651,megatron,0.01,5.242993,11349.8
652,megatron,0.01,5.272343,11738.4
653,megatron,0.01,5.231022,10569.8
654,megatron,0.01,5.227329,11295.3
655,megatron,0.01,5.234435,11570.2
656,megatron,0.01,5.249292,11056.9
657,megatron,0.01,5.255289,11836.5
658,megatron,0.01,5.235201,11185.5
659,megatron,0.01,5.214874,12335.0
660,megatron,0.01,5.225201,12473.4
661,megatron,0.01,5.235283,10998.9
662,megatron,0.01,5.240191,11839.6
663,megatron,0.01,5.223845,11888.6
664,megatron,0.01,5.239939,12086.9
665,megatron,0.01,5.209051,11217.9
666,megatron,0.01,5.227045,11880.4
667,megatron,0.01,5.231538,13918.0
668,megatron,0.01,5.218748,11733.5
669,megatron,0.01,5.222391,11677.6
670,megatron,0.01,5.243453,10781.8
671,megatron,0.01,5.221064,12103.7
672,megatron,0.01,5.221031,13782.2
673,megatron,0.01,5.216692,12903.6
674,megatron,0.01,5.223611,12892.7
675,megatron,0.01,5.217107,13905.5
676,megatron,0.01,5.21636,12212.2
677,megatron,0.01,5.216547,12122.3
678,megatron,0.01,5.211605,10300.0
679,megatron,0.01,5.21728,11162.0
680,megatron,0.01,5.235513,11736.7
681,megatron,0.01,5.232874,12829.6
682,megatron,0.01,5.215494,11376.0
683,megatron,0.01,5.185449,12540.1
684,megatron,0.01,5.237395,12720.9
685,megatron,0.01,5.190339,11823.1
686,megatron,0.01,5.204006,12329.6
687,megatron,0.01,5.193515,10779.2
688,megatron,0.01,5.219041,12040.8
689,megatron,0.01,5.201684,11786.0
690,megatron,0.01,5.206452,11262.5
691,megatron,0.01,5.196318,12751.9
692,megatron,0.01,5.187937,10160.2
693,megatron,0.01,5.217957,10985.0
694,megatron,0.01,5.204002,11438.0
695,megatron,0.01,5.192142,12499.7
